target,trial,is_best_for_target,val_mae,val_wmae,best_iteration,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,use_sample_weights,weight_alpha,weight_p,weight_clip_max
target_bow_f1__full,39,0,0.029236408821845045,,69,600,3,0.1,0.6,0.6,3,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,40,0,0.03495096616321966,,417,1000,4,0.02,0.8,1.0,10,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,41,0,0.030425732434564715,,395,400,5,0.02,0.8,0.8,1,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,42,0,0.03580217121948478,,399,400,5,0.01,0.6,0.6,5,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,43,0,0.035006430093317054,,398,1600,7,0.05,0.6,1.0,1,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,44,0,0.027527203106701082,,83,1600,5,0.05,0.8,0.6,1,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,45,0,0.03016901868616485,,170,1000,7,0.05,0.6,0.6,10,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,46,0,0.029336862175712766,,145,1200,6,0.1,0.6,0.6,10,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,47,0,0.030794901364169472,,199,1600,4,0.03,0.6,0.6,1,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,48,0,0.03539015546431108,,155,600,3,0.1,0.8,1.0,5,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,49,0,0.035155783476349296,,22,1600,3,0.1,1.0,0.6,10,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,50,0,0.030368779181636194,,129,1000,4,0.05,0.6,0.8,10,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,51,0,0.02779605619381636,,106,400,6,0.05,1.0,0.8,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,52,0,0.03143701291532378,,143,800,4,0.05,0.6,0.8,5,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,53,0,0.027998775042907417,,149,1600,4,0.03,1.0,0.8,5,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,54,0,0.030706539932300658,,516,1000,7,0.03,0.8,0.6,5,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,55,0,0.03557854934318026,,78,1200,4,0.03,1.0,0.6,10,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,56,0,0.02812102892971911,,185,800,4,0.03,0.6,0.8,1,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,57,0,0.02817985700986371,,59,1600,3,0.1,1.0,0.6,10,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,58,0,0.03638564718960803,,22,600,3,0.1,1.0,0.6,5,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,59,0,0.03129146808819883,,255,600,4,0.03,0.6,0.8,3,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,60,0,0.03163371082831011,,154,1200,3,0.03,0.6,1.0,3,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,61,0,0.034286024286549525,,75,800,3,0.1,0.8,1.0,3,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,62,0,0.027833752333440168,,126,1000,6,0.05,0.8,1.0,5,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,63,0,0.027917862145667348,,233,1600,5,0.02,0.6,0.6,10,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,64,0,0.02760683648727949,,323,400,7,0.01,0.6,0.8,10,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,65,0,0.031120728229951402,,539,1600,5,0.01,0.6,1.0,5,0.1,0.5,1.0,0,5.0,2.0,50.0
