feature,gain,gain_norm,weight,weight_norm,cover,cover_norm,corr_with_target
htr_token_score_hist_bin_7,0.09908683598041534,0.10875328054266188,161.0,0.03532250987275121,437.099365234375,0.02031073672103163,-0.5815240392623066
line_conf_max,0.09092709422111511,0.09979751284734212,89.0,0.01952610794207986,323.4382019042969,0.015029232908813694,0.22832185392648463
htr_line_score_max,0.07319294661283493,0.08033330540802626,90.0,0.019745502413339184,337.8777770996094,0.01570019798788278,0.22660480720341794
htr_token_score_hist_bin_6,0.06348051130771637,0.06967337070490602,94.0,0.020623080298376482,457.2659606933594,0.021247819781555762,-0.44907117037100364
frac_no_alpha_lines,0.05392317473888397,0.05918366543955363,47.0,0.010311540149188241,255.6170196533203,0.011877779746510275,-0.13249973510408838
htr_token_score_hist_bin_8,0.0516953319311142,0.05673848479087265,127.0,0.027863097849934182,436.06298828125,0.020262579297084377,-0.4955599408003199
htr_token_score_max,0.0366419292986393,0.04021654316852875,58.0,0.012724879333040808,361.24139404296875,0.01678583734206752,0.014380439658093663
htr_line_score_hist_bin_9,0.03537706285715103,0.0388282823203636,93.0,0.020403685827117157,413.3763427734375,0.01920839683734669,0.47583018202599414
line_word_count_min,0.025832252576947212,0.028352325349301807,2.0,0.00043878894251864854,65.0,0.00302036102513935,-0.11653903177488661
htr_token_score_hist_bin_5,0.020140018314123154,0.022104783548473565,94.0,0.020623080298376482,280.8085021972656,0.01304835470099044,-0.3516634326056411
char_punct_ratio,0.018071429803967476,0.019834393295859662,141.0,0.03093462044756472,413.1631164550781,0.01919848883024659,-0.03673008298192897
char_unknown_ratio,0.015811458230018616,0.017353949550045836,84.0,0.018429135585783237,270.0952453613281,0.012550540802535466,-0.02776311089169322
line_char_count_max,0.013491140678524971,0.014807272757625839,75.0,0.01645458534444932,325.5466613769531,0.015127206890572106,-0.06595445171826632
htr_token_score_hist_bin_1,0.013266867958009243,0.014561121047855494,15.0,0.003290917068889864,358.73333740234375,0.016669295241664665,-0.06377130298257197
line_height_min,0.011254142969846725,0.012352044099065564,72.0,0.015796401930671347,249.48611450195312,0.011592894408540805,0.080870312842407
char_digit_ratio,0.010821550153195858,0.011877249566729597,107.0,0.023475208424747696,272.3831787109375,0.01265685441357049,-0.1262619994214897
htr_token_score_hist_bin_9,0.010247940197587013,0.01124768092820003,80.0,0.017551557700745943,409.95001220703125,0.019049185217315658,0.5584033592959082
htr_line_score_mean,0.010068579576909542,0.011050822730985031,88.0,0.019306713470820535,399.3863525390625,0.018558322664331516,0.39646731528688806
htr_line_score_hist_bin_8,0.00989906769245863,0.01086477406626988,85.0,0.01864853005704256,394.5529479980469,0.01833372840749436,-0.3725047790804713
htr_line_score_min,0.009410538710653782,0.010328586500224834,39.0,0.008556384379113647,148.6666717529297,0.006908108016918983,0.05095158956345911
line_height_mean,0.00870900321751833,0.009558612511846861,84.0,0.018429135585783237,326.6190490722656,0.01517703762901458,0.07918724346752021
htr_line_score_hist_bin_4,0.007777912076562643,0.008536688508913162,32.0,0.007020623080298377,170.71875,0.007932803980930898,-0.07330459732480699
line_conf_min,0.007597366813570261,0.008338530101264138,46.0,0.010092145677928916,164.67391967773438,0.00765191829002395,0.08181042445908017
num_columns_est,0.007493009325116873,0.008223991988242321,9.0,0.0019745502413339184,95.22222137451172,0.004424699787181021,-0.1375624314329437
num_lines,0.007260448765009642,0.007968743916323877,39.0,0.008556384379113647,335.4102478027344,0.015585539075318618,0.18916450188419684
htr_line_score_cv,0.007160465698689222,0.007859006973434618,47.0,0.010311540149188241,217.97872924804688,0.010128837817387748,-0.16672408735528021
line_conf_mean,0.007055451162159443,0.007743747713823805,52.0,0.011408512505484861,175.13461303710938,0.008137996298002262,0.22563330823225955
line_word_count_mean,0.006169595755636692,0.006771472430305375,61.0,0.01338306274681878,250.22950744628906,0.011627437717393664,-0.0937712691983007
long_repetition_run_count,0.005919378716498613,0.006496845396505283,20.0,0.004387889425186486,276.95001220703125,0.012869061888953606,0.007353129960512303
line_conf_hist_bin_4,0.005633816123008728,0.006183424662711403,25.0,0.005484861781483106,253.63999938964844,0.011785913362659425,-0.19484539009763122
htr_token_score_entropy,0.0054689813405275345,0.006002509375983416,72.0,0.015796401930671347,233.11111450195312,0.010831995765669162,0.2203069052979399
htr_token_score_std,0.0054419683292508125,0.005972861102682409,25.0,0.005484861781483106,246.75999450683594,0.011466219538031498,-0.27004457485374184
htr_line_score_hist_bin_1,0.005278503056615591,0.005793448928724259,3.0,0.0006581834137779728,87.0,0.004042637064417284,0.011400577351542209
line_conf_std,0.005264395382255316,0.005777964976165608,58.0,0.012724879333040808,210.70689392089844,0.009790936771182354,-0.13092714305951095
htr_token_score_hist_bin_4,0.005195159465074539,0.005701974729325173,46.0,0.010092145677928916,243.52174377441406,0.011315747441080175,-0.19678567103349884
total_chars,0.005176259204745293,0.005681230648705602,31.0,0.006801228609039052,350.8387145996094,0.016302455072102276,0.09354395089398598
total_words,0.005053795874118805,0.005546820372910303,74.0,0.016235190873189996,313.3108215332031,0.014558642986358112,0.0894437688486715
htr_line_score_std,0.004733492620289326,0.005195269843742838,36.0,0.007898200965335674,245.44444274902344,0.011405089672556875,-0.12235330068936491
line_char_count_mean,0.0045716771855950356,0.005017668458136791,72.0,0.015796401930671347,268.9583435058594,0.012497712278632904,-0.06694531395399458
page_line_spacing_mean,0.004378761630505323,0.004805932971014551,61.0,0.01338306274681878,229.60655212402344,0.010669148940800415,-0.09414246374594505
line_conf_cv,0.004244472831487656,0.004658543589884326,45.0,0.009872751206669592,161.3333282470703,0.0074966907183609925,-0.1618094816712705
line_word_count_max,0.004103699699044228,0.00450403729433044,38.0,0.008336989907854322,242.9736785888672,0.011290280445300767,-0.09459382915761981
htr_token_score_cv,0.0040633799508214,0.0044597841415629684,24.0,0.005265467310223783,229.0,0.010640964227029402,-0.2839616167656477
line_char_count_min,0.003982030786573887,0.004370498936381228,23.0,0.005046072838964458,148.2608642578125,0.00688925132242727,-0.09978623959590803
line_conf_hist_bin_3,0.003981579095125198,0.004370003180044355,18.0,0.003949100482667837,230.1666717529297,0.010695176071516784,-0.08986012721011419
page_line_spacing_min,0.0038871834985911846,0.004266398794151111,31.0,0.006801228609039052,161.5806427001953,0.007508182701979029,-0.1368446733612114
line_width_cv,0.0038623344153165817,0.004239125551466029,42.0,0.009214567792891619,289.71429443359375,0.013462180974353425,-0.1253265007012553
line_conf_hist_bin_7,0.0037695567589253187,0.004137296944327902,71.0,0.015577007459412023,162.94366455078125,0.007571518364654769,-0.05239723695992007
page_line_spacing_cv,0.0036997972056269646,0.004060731977898999,66.0,0.014480035103115402,333.1666564941406,0.015481285910013727,0.09295444142938931
line_conf_hist_bin_9,0.0034908081870526075,0.0038313549759746986,58.0,0.012724879333040808,234.89654541015625,0.010914959549180175,0.1734860280978441
line_char_count_cv,0.003415220882743597,0.0037483937306221258,40.0,0.008775778850372971,312.67498779296875,0.014529097641012382,-0.15714475397921782
page_line_spacing_max,0.003157350467517972,0.0034653666934460867,81.0,0.017770952172005264,274.8765563964844,0.012772714425607075,-0.0796111732960847
line_conf_hist_bin_6,0.0029026803094893694,0.00318585211547124,50.0,0.010969723562966213,204.47999572753906,0.009501590915632612,-0.07567794076868929
line_width_max,0.002885438734665513,0.0031669285338949064,55.0,0.012066695919262835,211.6727294921875,0.009835816342201043,0.07816166656124396
htr_token_score_mean,0.0027562135364860296,0.0030250967346277247,41.0,0.008995173321632294,203.14634704589844,0.009439620138720984,0.36280459001353493
line_width_mean,0.0027539182920008898,0.0030225775769118024,49.0,0.01075032909170689,232.65306091308594,0.010810711347096243,0.19377311189172924
line_word_count_cv,0.002727361163124442,0.0029934296597487315,47.0,0.010311540149188241,323.5531921386719,0.015034576170693354,-0.11555071722687711
line_height_cv,0.002719896612688899,0.002985236902965157,77.0,0.01689337428696797,347.06494140625,0.01612709880331861,-0.17985256566636532
line_conf_entropy,0.0026326843071728945,0.002889516576095208,68.0,0.01491882404563405,324.79412841796875,0.01509223887181135,0.26875829545059693
line_conf_hist_bin_8,0.002627462847158313,0.002883785735058763,55.0,0.012066695919262835,162.23635864257812,0.007538651915454961,0.03207499930562233
char_upper_ratio,0.002588160801678896,0.0028406495673162758,95.0,0.020842474769635806,348.8105163574219,0.016208210596379825,-0.15327483322442412
line_word_count_std,0.0025721110869199038,0.0028230341180535768,53.0,0.011627906976744186,192.39622497558594,0.008940093220003104,-0.1484282150167953
line_width_min,0.002569707576185465,0.0028203961321435073,59.0,0.012944273804300131,199.4067840576172,0.009265853518707779,-0.05494031551527057
htr_token_score_hist_bin_3,0.002547882730141282,0.0027964421570149385,55.0,0.012066695919262835,204.5454559326172,0.009504632661049775,-0.08825701667584608
line_char_count_std,0.0025042120832949877,0.0027485112077524827,31.0,0.006801228609039052,222.06451416015625,0.010318692363628326,-0.1568778892462236
htr_line_score_hist_bin_7,0.0023796723689883947,0.002611821986074591,27.0,0.005923650724001755,270.7407531738281,0.012580535673893896,-0.25708697150510945
