feature,gain,gain_norm,weight,weight_norm,cover,cover_norm,corr_with_target
line_conf_mean,0.4403995871543884,0.113487674902398,142.0,0.021446911342697477,459.0704345703125,0.025289935056845125,0.5812914289719252
htr_token_score_hist_bin_9,0.3062465786933899,0.07891744946287413,148.0,0.022353118864219906,431.479736328125,0.023769978827533518,0.6112465009703905
line_conf_max,0.2088332325220108,0.05381475980577265,136.0,0.02054070382117505,390.86029052734375,0.02153227613751317,0.4960875082489575
line_conf_hist_bin_3,0.16408886015415192,0.042284470193545406,58.0,0.008760006041383477,337.8448181152344,0.018611683232058144,-0.4556004530401326
htr_token_score_hist_bin_7,0.16386112570762634,0.04222578473246592,196.0,0.029602779036399334,386.7449035644531,0.02130556175734903,-0.5227643109830471
htr_token_score_mean,0.1529487669467926,0.03941375161620033,61.0,0.009213109802144692,351.31146240234375,0.019353553180127013,0.5428006091925073
htr_line_score_hist_bin_9,0.12485861033201218,0.032175128659140004,82.0,0.012384836127473191,287.7317199707031,0.01585098051166026,0.5461715553609119
htr_token_score_hist_bin_6,0.10671066492795944,0.027498539061340057,157.0,0.02371243014650355,333.8662414550781,0.018392505655422855,-0.48988222524029684
htr_token_score_hist_bin_8,0.07912904769182205,0.020390962893064017,155.0,0.02341036097266274,296.7935485839844,0.016350191612764273,-0.45182272356747955
htr_token_score_std,0.07718917727470398,0.019891072816705935,53.0,0.008004833106781453,367.84906005859375,0.02026460024224998,-0.47052790848276427
htr_line_score_mean,0.07561828196048737,0.01948626486064621,84.0,0.012686905301314002,248.7738037109375,0.013704810560459491,0.526951290889342
line_conf_cv,0.06392910331487656,0.016474051078656262,125.0,0.018879323365050597,328.79998779296875,0.01811340855735734,-0.4162368831150812
line_conf_hist_bin_4,0.06315469741821289,0.016274492479587326,93.0,0.014046216583597644,374.92474365234375,0.0206543957182671,-0.3949675718223823
line_conf_hist_bin_5,0.06283578276634216,0.01619231056255381,82.0,0.012384836127473191,294.42681884765625,0.016219809787184795,-0.3605090838018617
htr_token_score_cv,0.05979234725236893,0.015408040026725347,83.0,0.012535870714393596,266.7469787597656,0.01469494278314471,-0.4950286855106441
line_char_count_mean,0.05763143673539162,0.014851189572281296,62.0,0.009364144389065096,161.9516143798828,0.008921824412090615,-0.23263686962021424
line_conf_hist_bin_2,0.05529587343335152,0.014249332403321284,58.0,0.008760006041383477,397.8103332519531,0.021915150127889367,-0.36996226503105617
htr_token_score_hist_bin_5,0.053851690143346786,0.013877177186794988,125.0,0.018879323365050597,308.20001220703125,0.01697856735324324,-0.3769396010439454
htr_token_score_hist_bin_4,0.05222458392381668,0.013457884101470256,74.0,0.011176559432109953,193.91891479492188,0.010682885222281327,-0.2794189072484399
line_conf_std,0.05207822844386101,0.013420169390526234,82.0,0.012384836127473191,236.256103515625,0.013015217414917847,-0.2913141186737034
line_conf_hist_bin_9,0.050496526062488556,0.013012576534208188,54.0,0.008155867693701857,164.09259033203125,0.009039769587189467,0.3158708836315933
line_word_count_mean,0.04778711125254631,0.012314380631906685,56.0,0.008457936867542667,104.89286041259766,0.005778489373301203,-0.2277441448124468
char_digit_ratio,0.04465208202600479,0.011506507082410068,341.0,0.051502794139858026,168.58944702148438,0.009287498922542232,-0.24660129063310665
line_char_count_max,0.043560855090618134,0.011225306074734084,69.0,0.01042138649750793,259.2463684082031,0.014281738328243873,-0.28139315652969576
line_width_max,0.04130135104060173,0.010643048805317029,114.0,0.017217942908926143,410.0789489746094,0.022591021348291045,-0.07131916159115184
htr_line_score_max,0.03921531140804291,0.010105492016985252,91.0,0.013744147409756834,189.62637329101562,0.010446411496927587,0.24415031307630317
line_height_min,0.0364399328827858,0.009390297759332467,73.0,0.011025524845189549,214.46575927734375,0.01181479946343675,0.10424022813125756
long_repetition_run_count,0.03614521771669388,0.009314351868523717,18.0,0.002718622564567286,123.88888549804688,0.006824969835931891,-0.20624886112199825
line_word_count_std,0.03556479141116142,0.009164780357131778,85.0,0.012837939888234406,348.058837890625,0.019174367903813886,-0.36336791940768276
char_unknown_ratio,0.03174047917127609,0.008179283738005253,212.0,0.03201933242712581,126.36792755126953,0.006961538884618005,0.11492928203261825
line_char_count_min,0.03126143664121628,0.008055838066161804,37.0,0.005588279716054976,49.783782958984375,0.002742560929882649,-0.10802098409048319
page_line_spacing_mean,0.031111977994441986,0.00801732369237215,55.0,0.008306902280622263,169.70909118652344,0.009349179497217265,-0.0796434646320256
line_word_count_cv,0.03109372965991497,0.008012621233249305,62.0,0.009364144389065096,286.17742919921875,0.015765355497043308,-0.25842004458976997
htr_token_score_hist_bin_1,0.031040580943226814,0.007998925207056458,54.0,0.008155867693701857,162.51852416992188,0.008953055157295536,-0.3009045207526156
line_width_mean,0.029886120930314064,0.007701429508934174,71.0,0.010723455671348739,232.66197204589844,0.012817218710121652,0.06563188203602427
htr_token_score_hist_bin_2,0.029292110353708267,0.007548357432636355,71.0,0.010723455671348739,211.73239135742188,0.011664219744126377,-0.35957534453757906
line_height_mean,0.029112644493579865,0.007502110424727169,97.0,0.014650354931279263,306.9072265625,0.016907348510707198,0.08434982187361922
line_conf_hist_bin_6,0.028371842578053474,0.007311211319894766,53.0,0.008004833106781453,322.15093994140625,0.017747116207223173,-0.3255125725898319
line_conf_hist_bin_7,0.02753354422748089,0.007095188114024578,69.0,0.01042138649750793,115.52173614501953,0.006364028229123676,-0.1371090156612485
htr_token_score_max,0.027491489425301552,0.007084350906504354,66.0,0.009968282736746714,291.8787841796875,0.016079439973703265,0.10187441699603472
frac_long_lines,0.027405891567468643,0.007062292979691,118.0,0.017822081256607763,132.0,0.007271806625116603,-0.13709713787813918
page_line_spacing_min,0.02605416812002659,0.0067139639720448716,63.0,0.0095151789759855,228.5238037109375,0.012589249316833648,-0.04151370233516001
char_punct_ratio,0.02540445514023304,0.006546537803671036,376.0,0.056789004682072194,186.15692138671875,0.010255281320085243,-0.16042588978674682
line_word_count_max,0.024778038263320923,0.006385114866515883,94.0,0.014197251170518049,427.0531921386719,0.02352612296872112,-0.3272820863930965
line_height_max,0.02470296248793602,0.00636576840153625,57.0,0.008608971454463071,152.94737243652344,0.008425785728621876,-0.018862453431766475
line_height_cv,0.024456026032567024,0.006302134726605845,77.0,0.011629663192871167,228.02597045898438,0.012561823959714283,-0.31379454155170755
line_width_std,0.024257082492113113,0.00625086846636966,67.0,0.01011931732366712,374.0596923828125,0.02060674052468496,-0.06429312305910906
page_line_spacing_std,0.02364441752433777,0.006092989293193682,40.0,0.006041383476816191,107.92500305175781,0.00594552842581441,-0.11084355461195326
line_conf_min,0.023518694564700127,0.006060591428192682,70.0,0.010572421084428334,315.971435546875,0.017406690745131587,0.25205165535063867
htr_line_score_cv,0.023418869823217392,0.006034867340025822,87.0,0.013140009062075216,75.81609344482422,0.004176666443958577,-0.3367453709403345
htr_line_score_min,0.022716952487826347,0.0058539885002386926,54.0,0.008155867693701857,69.70370483398438,0.0038399383530828774,0.2152948365043123
line_conf_entropy,0.022485733032226562,0.005794404978424403,50.0,0.007551729346020239,139.72000122070312,0.007697097201045522,0.17246540797254314
page_line_spacing_max,0.021513327956199646,0.0055438234738988375,56.0,0.008457936867542667,156.05357360839844,0.008596904624535403,-0.13006754758249203
total_chars,0.02106868289411068,0.005429241771905509,26.0,0.003926899259930524,112.84615325927734,0.006216631855225277,-0.10856874206701667
htr_line_score_hist_bin_8,0.020992999896407127,0.0054097388302826125,94.0,0.014197251170518049,218.6170196533203,0.012043490089986827,-0.360225556496431
page_line_spacing_cv,0.02011610008776188,0.005183768317802047,61.0,0.009213109802144692,190.37704467773438,0.010487765566345973,-0.1068177054642529
line_char_count_cv,0.019088374450802803,0.004918931119089634,49.0,0.0074006947590998335,146.46939086914062,0.008068917324992502,-0.2585522619689652
line_conf_hist_bin_8,0.018878955394029617,0.0048649653967623085,61.0,0.009213109802144692,162.21311950683594,0.008936230584171522,0.1309749932278497
frac_no_alpha_lines,0.018783722072839737,0.0048404244832139865,88.0,0.01329104364899562,112.3977279663086,0.006191928355101944,-0.10732685543143655
htr_token_score_entropy,0.018688132986426353,0.004815791891632341,71.0,0.010723455671348739,137.21127319335938,0.0075588927685466285,0.05321603283990072
text_density,0.01866566762328148,0.004810002735821311,85.0,0.012837939888234406,277.6470642089844,0.015295422431508087,-0.013842481416140142
htr_line_score_hist_bin_7,0.01797478087246418,0.004631966395056893,59.0,0.008911040628303881,58.084747314453125,0.003199856441965637,-0.28131697044809567
char_upper_ratio,0.01782158389687538,0.004592488681932795,205.0,0.030962090318682977,162.9561004638672,0.008977160992093305,-0.1871651014031488
frac_short_lines,0.017617981880903244,0.004540021967448754,104.0,0.015707597039722097,121.38461303710938,0.0066870108581096,-0.00427527250005685
line_char_count_std,0.01724502444267273,0.004443913629164827,47.0,0.007098625585259024,214.34042358398438,0.011807894789759974,-0.3536074911556146
line_width_cv,0.017183411866426468,0.004428036529760364,57.0,0.008608971454463071,266.35089111328125,0.014673122534873255,-0.12522551106041457
line_overlap_count,0.01691238023340702,0.004358193708028576,36.0,0.005437245129134572,152.05555725097656,0.008376656125783699,-0.08629773889691875
line_word_count_min,0.016332101076841354,0.004208660115823195,4.0,0.0006041383476816191,205.75,0.011334653129679857,-0.12513346015818794
htr_token_score_min,0.016111355274915695,0.004151775576110342,49.0,0.0074006947590998335,149.36734008789062,0.008228563736569454,0.22286853501543363
num_lines,0.015615499578416348,0.00402399727721041,29.0,0.004380003020691739,243.48275756835938,0.01341332976960042,0.03830993190320252
num_columns_est,0.015409301035106182,0.003970861457080023,18.0,0.002718622564567286,191.22222900390625,0.010534326301061893,-0.10620465251993366
htr_line_score_std,0.014319846406579018,0.003690117159606692,49.0,0.0074006947590998335,68.67346954345703,0.0037831832636049554,-0.28870510312856484
