feature,gain,gain_norm,weight,weight_norm,cover,cover_norm,corr_with_target
line_conf_max,0.38067904114723206,0.09036332387536156,120.0,0.03575685339690107,524.6083374023438,0.03064925833316965,0.5457972872274401
line_conf_mean,0.2644267976284027,0.06276805858134588,178.0,0.05303933253873659,552.494384765625,0.03227844835664562,0.5327317265201416
htr_token_score_max,0.24078623950481415,0.057156403671534524,28.0,0.00834326579261025,258.4285583496094,0.015098203899590556,0.15369360987341052
line_conf_hist_bin_9,0.13910794258117676,0.03302061503364032,37.0,0.01102502979737783,360.6486511230469,0.021070221130134206,0.32816492765976557
line_word_count_max,0.13177567720413208,0.03128012554147064,18.0,0.005363528009535161,247.5,0.014459723371955694,0.004831604976524019
line_conf_hist_bin_8,0.10449884831905365,0.02480531433198811,63.0,0.018772348033373062,196.1904754638672,0.011462060619878709,0.07392298014678148
htr_line_score_mean,0.09809357672929764,0.023284869104873762,34.0,0.010131108462455305,123.20587921142578,0.007198072449275974,0.21093397774115064
total_words,0.09202943742275238,0.021845399827733487,38.0,0.01132300357568534,176.3157958984375,0.010300919736555987,0.10383586030976069
htr_token_score_cv,0.08657639473676682,0.020550989027351897,32.0,0.009535160905840286,139.5,0.008150025900556846,-0.12036945926008333
line_char_count_max,0.08045335114002228,0.019097537400574287,31.0,0.009237187127532777,262.54840087890625,0.015338897973568945,0.01923824539204415
line_height_min,0.07915528118610382,0.018789409284812212,67.0,0.019964243146603097,193.44775390625,0.011301822256204188,0.09749847603487329
htr_token_score_entropy,0.07908729463815689,0.018773271042914833,34.0,0.010131108462455305,203.08824157714844,0.011865049669909,0.19024658925653212
line_word_count_mean,0.07456855475902557,0.017700639479128453,59.0,0.017580452920143028,331.9152526855469,0.019391526209154675,0.06369969573204722
line_conf_hist_bin_5,0.0738922655582428,0.01754010597589283,61.0,0.018176400476758045,432.5082092285156,0.025268481056744528,-0.2839968372331903
line_conf_hist_bin_4,0.07251886278390884,0.017214095803821234,47.0,0.01400476758045292,499.8085021972656,0.0292003744675716,-0.3402885447880601
num_columns_est,0.07217109203338623,0.0171315440540082,7.0,0.0020858164481525627,79.28571319580078,0.004632119111755542,-0.10703455622237182
line_conf_std,0.06867276132106781,0.01630113114178777,60.0,0.017878426698450536,203.01666259765625,0.01186086780226171,-0.13721766651627065
line_word_count_std,0.06225946173071861,0.014778780275698693,38.0,0.01132300357568534,149.6052703857422,0.008740407372785726,0.0023352994619157044
page_line_spacing_min,0.05755280703306198,0.013661542611307958,15.0,0.004469606674612634,214.60000610351562,0.012537602924754906,-0.08150581459135575
line_height_std,0.056788407266139984,0.01348009394657333,38.0,0.01132300357568534,192.8947296142578,0.011269512849011547,-0.09991544545703906
htr_token_score_hist_bin_1,0.05575909838080406,0.01323576273282147,38.0,0.01132300357568534,126.63157653808594,0.007398212391496395,-0.10811226941518025
line_conf_hist_bin_7,0.05527523159980774,0.013120905317735179,73.0,0.021752085816448153,460.2328796386719,0.02688824293435869,-0.17156766005520263
char_unknown_ratio,0.05473298206925392,0.012992189353223367,32.0,0.009535160905840286,110.59375,0.006461232451180707,-0.03169246201809606
line_char_count_mean,0.053609929978847504,0.012725605935684897,52.0,0.015494636471990465,243.98077392578125,0.014254119188050333,0.05097280270741228
line_conf_hist_bin_3,0.05245652422308922,0.012451817345818765,57.0,0.01698450536352801,410.3157958984375,0.023971930924586826,-0.35754919952851366
line_conf_hist_bin_2,0.05155494436621666,0.01223780568822775,32.0,0.009535160905840286,285.84375,0.01669988506102004,-0.36718075865301086
