feature,gain,gain_norm,weight,weight_norm,cover,cover_norm,corr_with_target
line_conf_mean,0.43865540623664856,0.106364468614436,274.0,0.02037629210976426,338.9233703613281,0.011302336591721194,0.6309888853732623
total_chars,0.38760054111480713,0.09398476572770872,125.0,0.009295753699709973,343.1520080566406,0.011443352203910786,0.31918200742171454
line_conf_max,0.3274867832660675,0.07940847687069048,245.0,0.018219677251431546,296.653076171875,0.009892716794033769,0.5984033192887764
htr_token_score_entropy,0.2662118673324585,0.0645506322390972,216.0,0.01606306239309883,304.7962951660156,0.010164274939799147,0.5745217849269527
region_conf_max,0.11967488378286362,0.02901857640206871,381.0,0.028333457276715997,302.24407958984375,0.010079164256915947,0.5603208304171495
total_words,0.10572251677513123,0.025635428533396537,189.0,0.014055179593961478,288.3968200683594,0.009617389113414098,0.3253645508153076
htr_token_score_hist_bin_8,0.08950295299291611,0.02170253437929474,280.0,0.020822488287350338,389.14642333984375,0.012977163113190833,-0.3880753989819364
line_conf_cv,0.06983854621648788,0.01693434014834409,76.0,0.0056518182494236634,251.19737243652344,0.008376870710351833,-0.3420881080459487
region_area_max,0.059919632971286774,0.01452921776398816,146.0,0.010857440321261248,288.5479431152344,0.009622428729126425,0.24276137394354388
htr_token_score_hist_bin_5,0.05587073415517807,0.013547447187526401,194.0,0.014427009741949878,262.19073486328125,0.00874347476686624,-0.29708011410193125
line_spacing_max,0.055751312524080276,0.013518490019434568,156.0,0.011601100617238045,139.39102172851562,0.004648378905709619,-0.19329897085530912
line_char_count_mean,0.05076649412512779,0.012309779143868601,98.0,0.007287870900572618,184.88775634765625,0.006165593277623628,0.20762528219998516
htr_token_score_hist_bin_6,0.04521964117884636,0.010964787020836716,164.0,0.012196028854019485,263.5853576660156,0.008789982319054774,-0.37774044394357414
line_spacing_min,0.04265884682536125,0.01034384965914751,117.0,0.008700825462928535,175.6837615966797,0.005858660632190919,0.1275200155192723
htr_token_score_max,0.04224146902561188,0.01024264455087659,130.0,0.009667583847698372,221.55384826660156,0.007388325460208444,0.19708682655158172
htr_line_score_hist_bin_8,0.04031110927462578,0.009774573973769504,202.0,0.015021937978731316,320.7128601074219,0.010695056792227842,-0.27354574738343945
htr_token_score_hist_bin_7,0.03921967372298241,0.0095099244086965,230.0,0.017104186807466348,288.2608642578125,0.009612855291120395,-0.38549565414397735
page_line_spacing_min,0.039055611938238144,0.009470142966803485,156.0,0.011601100617238045,313.025634765625,0.010438705015197034,-0.24172035271072917
region_height_to_lines_height_ratio_max,0.037959568202495575,0.009204376016543796,118.0,0.008775191492526214,157.29661560058594,0.005245490425641236,-0.1033858507744826
line_conf_entropy,0.037558507174253464,0.009107127373202288,172.0,0.012790957090800923,254.5523223876953,0.008488750789781285,0.5358529338343064
region_conf_mean,0.03703179955482483,0.008979412143299302,204.0,0.015170670037926675,246.00489807128906,0.008203713300294225,0.4122152591168799
region_area_mean,0.03684493899345398,0.008934102490135053,76.0,0.0056518182494236634,271.118408203125,0.009041192711073735,0.1765913829156715
htr_line_score_min,0.03594572842121124,0.00871606333381953,103.0,0.007659701048561018,139.41748046875,0.004649261245536474,-0.13195935730397879
line_width_max,0.03541141375899315,0.008586503560221143,125.0,0.009295753699709973,202.61599731445312,0.0067567904747135275,0.28778001758973526
num_lines,0.034288451075553894,0.008314209346130414,88.0,0.00654421060459582,240.5795440673828,0.008022789874990098,0.3377471958910006
region_overlap_count,0.03275895491242409,0.007943339537332582,47.0,0.0034952033910909497,309.2978820800781,0.01031439279813798,0.0753461999115616
htr_token_score_std,0.032294124364852905,0.00783062816187653,36.0,0.0026771770655164722,263.1944580078125,0.008776946689479008,-0.12461167875450001
line_conf_hist_bin_7,0.031203648075461388,0.007566211197196066,130.0,0.009667583847698372,233.63076782226562,0.007791063724211113,-0.22255364180253087
htr_line_score_max,0.027837445959448814,0.006749979836022992,194.0,0.014427009741949878,308.5824890136719,0.010290536038944045,0.32389691592839237
num_regions,0.027763234451413155,0.00673198514701412,11.0,0.0008180263255744776,142.27272033691406,0.004744477111015706,0.2514822092547734
