feature,gain,gain_norm,weight,weight_norm,cover,cover_norm,corr_with_target
line_conf_mean,2.81699538230896,0.05924164523726173,130.0,0.033696215655780196,669.876953125,0.01929312575137357,0.6369313981332473
line_width_mean,2.0158817768096924,0.04239416003732821,70.0,0.018144116122343183,664.414306640625,0.019135796073039824,0.3567055371090655
line_conf_max,1.5714908838272095,0.033048582904305145,83.0,0.021513737687921204,587.6385498046875,0.016924577543453813,0.4901963853186024
line_char_count_mean,1.3377861976623535,0.028133754078169176,48.0,0.012441679626749611,397.8125,0.011457397589458677,0.31313788426537215
line_conf_cv,1.0926907062530518,0.022979375678222728,38.0,0.009849663037843442,442.7894592285156,0.012752778966981947,-0.4369869171510321
line_conf_hist_bin_9,1.060154914855957,0.022295145301572138,66.0,0.017107309486780714,730.9091186523438,0.021050913116507725,0.4104684091074093
text_density,0.8929533362388611,0.01877888231237788,45.0,0.01166407465007776,471.6444396972656,0.01358383124328431,0.39075425820156146
total_chars,0.8808464407920837,0.018524273302548862,24.0,0.006220839813374806,451.7083435058594,0.013009651748053179,0.31735248219365303
region_conf_max,0.7444313168525696,0.0156554519945076,119.0,0.03084499740798341,529.0504150390625,0.015237180706917625,0.5029506239614074
line_word_count_mean,0.7418144345283508,0.015600418743387407,44.0,0.011404872991187144,204.93182373046875,0.005902241340362214,0.30603532625132895
htr_token_score_entropy,0.7076659798622131,0.014882273925175502,32.0,0.00829445308449974,328.8125,0.00947012862814487,0.4660764227251144
region_tightness_area_ratio_std,0.5347249507904053,0.011245309819525671,15.0,0.0038880248833592537,175.6666717529297,0.005059375714665189,-0.028641940229936425
num_regions,0.48848962783813477,0.010272977164324954,1.0,0.0002592016588906169,37.0,0.0010656369792552297,0.1766079145304054
htr_token_score_max,0.44635123014450073,0.009386803185229975,51.0,0.013219284603421462,416.6470642089844,0.011999851862681672,0.1136890165871054
max_lines_in_region,0.43706339597702026,0.009191479266622268,15.0,0.0038880248833592537,149.39999389648438,0.004302869140448631,0.08243087529637991
line_conf_hist_bin_8,0.4330848753452301,0.009107810649585187,50.0,0.012960082944530845,325.2799987792969,0.009368389062467966,0.1438460199644879
line_word_count_cv,0.40501710772514343,0.008517543181490094,17.0,0.0044064282011404875,64.52941131591797,0.0018585115391300828,-0.17229705466885956
line_conf_hist_bin_6,0.39380523562431335,0.008281756586448356,59.0,0.015292897874546397,588.9491577148438,0.016962324361139404,-0.44411974555913275
